Num;IDtree;field_name;genus.y;species.y;family;plot;subplot;x;y
1;1_1_1_1;eho;Ricinodendron;heudelotii;Euphorbiaceae;1;1;104,55;1804,65
2;1_1_1_10;loloti;Lannea;welwitschii;Anacardiaceae;1;1;105,45;1819,3
3;1_1_1_11;loloti;Lannea;welwitschii;Anacardiaceae;1;1;108,7;1817,82
4;1_1_1_12;tuibesso;Baphia;bancoensis;Fabaceae;1;1;119,2;1808,65
5;1_1_1_13;dologaha;Millettia;zechiana;Fabaceae;1;1;119,1;1803,78
6;1_1_1_14;tuibesso;Baphia;bancoensis;Fabaceae;1;1;118;1807,53
7;1_1_1_15;tuibesso;Baphia;bancoensis;Fabaceae;1;1;118;1810,52
8;1_1_1_16;manba.ngavi;Diospyros;ferrea;Ebenaceae;1;1;119,3;1811,8
9;1_1_1_2;dologaha;Millettia;zechiana;Fabaceae;1;1;115,7;1801,65
10;1_1_1_3;dologaha;Millettia;zechiana;Fabaceae;1;1;115,8;1802,9
11;1_1_1_4;eho;Ricinodendron;heudelotii;Euphorbiaceae;1;1;112,35;1803,5
12;1_1_1_5;bete;Mansonia;altissima;Malvaceae;1;1;110;1802,01
13;1_1_1_7;bete;Mansonia;altissima;Malvaceae;1;1;102,63;1814,2
14;1_1_1_8;asamoiake;Trichilia;prieuriana;Meliaceae;1;1;101,97;1816,7
15;1_1_1_9;asamoiake;Trichilia;prieuriana;Meliaceae;1;1;101,8;1819,02
16;1_1_10_1;cedrela;Cedrela;odorata;Meliaceae;1;1;128;1814,1
17;1_1_10_2;kotibe;Nesogordonia;papaverifera;Malvaceae;1;1;126,5;1807,1
18;1_1_10_3;kotibe;Nesogordonia;papaverifera;Malvaceae;1;1;127,5;1807,1
19;1_1_10_5;aboudikro;Entandrophragma;cylindricum;Meliaceae;1;1;128;1805,5
20;1_1_10_6;bosse;Guarea;cedrata;Meliaceae;1;1;131,1;1808,3
21;1_1_10_7;kotibe;Nesogordonia;papaverifera;Malvaceae;1;1;121,55;1807,5
22;1_1_10_8;kotibe;Nesogordonia;papaverifera;Malvaceae;1;1;139,1;1804,8
23;1_1_10_9;bete;Mansonia;altissima;Malvaceae;1;1;122;1807,35
24;1_1_11_1;eho;Ricinodendron;heudelotii;Euphorbiaceae;1;1;145,65;1801,8
25;1_1_11_10;fromager;Ceiba;pentandra;Malvaceae;1;1;159,3;1813,1
26;1_1_11_11;lie;Margaritaria;discoidea;Phyllanthaceae;1;1;155;1808,1
27;1_1_11_12;cedrela;Cedrela;odorata;Meliaceae;1;1;157,6;1805,7
28;1_1_11_13;cedrela;Cedrela;odorata;Meliaceae;1;1;159,1;1803,15
29;1_1_11_15;akossika.petites.feuilles;Scottellia;klaineana;Achariaceae;1;1;156;1803,5
30;1_1_11_17;dologaha;Millettia;zechiana;Fabaceae;1;1;148;1805,35
31;1_1_11_2;ouindo;Lasiodiscus;mildbraedii;Rhamnaceae;1;1;142,2;1802,35
32;1_1_11_3;ilomba;Pycnanthus;angolensis;Myristicaceae;1;1;141,9;1805,95
33;1_1_11_4;bete;Mansonia;altissima;Malvaceae;1;1;143,4;1805,9
34;1_1_11_5;dologaha;Millettia;zechiana;Fabaceae;1;1;145,1;1809,3
35;1_1_11_6;kaka;Blighia;welwitschii;Sapindaceae;1;1;140,23;1802,1
36;1_1_11_7;kaka;Blighia;welwitschii;Sapindaceae;1;1;143,25;1817,45
37;1_1_11_9;tchikouebi;Bridelia;aubrevillei;Phyllanthaceae;1;1;156;1814,8
38;1_1_12_10;ako;Antiaris;toxicaria;Moraceae;1;1;146,45;1828,1
39;1_1_12_11;fromager;Ceiba;pentandra;Malvaceae;1;1;158,2;1821,2
40;1_1_12_12;fromager;Ceiba;pentandra;Malvaceae;1;1;156,15;1830
41;1_1_12_13;cedrela;Cedrela;odorata;Meliaceae;1;1;154;1833,9
42;1_1_12_14;poe;Strombosia;pustulata;Olacaceae;1;1;156,7;1835
43;1_1_12_15;eho;Ricinodendron;heudelotii;Euphorbiaceae;1;1;159,8;1836,5
44;1_1_12_16;adjouaba;Dacryodes;klaineana;Burseraceae;1;1;158,95;1838,1
45;1_1_12_2;lotofa;Sterculia;rhinopetala;Malvaceae;1;1;150,8;1833,2
46;1_1_12_3;asan;Celtis;zenkeri;Cannabaceae;1;1;144,7;1834
47;1_1_12_4;afambeou;Dialium;dinklagei;Fabaceae;1;1;143,85;1833,5
48;1_1_12_5;bete;Mansonia;altissima;Malvaceae;1;1;141,05;1834,5
49;1_1_12_6;acajou.blanc;Khaya;anthotheca;Meliaceae;1;1;148;1833,6
50;1_1_12_7;ba;Celtis;mildbraedii;Cannabaceae;1;1;152,1;1834,2
51;1_1_12_8;asan;Celtis;zenkeri;Cannabaceae;1;1;153;1828,8
52;1_1_12_9;asamoiake;Trichilia;prieuriana;Meliaceae;1;1;155;1824
53;1_1_13_1;dologaha;Millettia;zechiana;Fabaceae;1;1;150,2;1841,55
